"""","選挙当日有権者数(人)","選挙当日有権者数_男(人)","選挙当日有権者数_女(人)","投票者数(人)","投票者数_男(人)","投票者数_女(人)"," 投票率(％)"," 投票率_男(％)"," 投票率_女(％)"
"県  計","588085.0","274333.0","313752.0","282936.0","131095.0","151841.0","","",""
"","","","","","","","","",""
"   和歌山市","306050.0","142982.0","163068.0","133766.0","61790.0","71976.0","43.71","43.22","44.14"
"   海 南 市","45035.0","20785.0","24250.0","22487.0","10557.0","11930.0","49.93","50.79","49.2"
"   橋 本 市","53594.0","24959.0","28635.0","30274.0","14042.0","16232.0","56.49","56.26","56.69"
"   有 田 市","-","-","-","-","-","-","-","-","-"
"   御 坊 市","-","-","-","-","-","-","-","-","-"
"   田 辺 市","63830.0","29736.0","34094.0","34450.0","16121.0","18329.0","53.97","54.21","53.76"
"   新 宮 市","-","-","-","-","-","-","-","-","-"
"   紀の川市","-","-","-","-","-","-","-","-","-"
"   岩 出 市","41379.0","19734.0","21645.0","15986.0","7551.0","8435.0","38.63","38.26","38.97"
"","","","","","","","","",""
"   紀美野町","8573.0","3918.0","4655.0","5263.0","2422.0","2841.0","61.39","61.82","61.03"
"","","","","","","","","",""
"   かつらぎ町","-","-","-","-","-","-","-","-","-"
"   九度山町","-","-","-","-","-","-","-","-","-"
"   高 野 町","-","-","-","-","-","-","-","-","-"
"","","","","","","","","",""
"   湯 浅 町","-","-","-","-","-","-","-","-","-"
"   広 川 町","-","-","-","-","-","-","-","-","-"
"   有田川町","-","-","-","-","-","-","-","-","-"
"","","","","","","","","",""
"   美 浜 町","-","-","-","-","-","-","-","-","-"
"   日 高 町","-","-","-","-","-","-","-","-","-"
"   由 良 町","-","-","-","-","-","-","-","-","-"
"   印 南 町","-","-","-","-","-","-","-","-","-"
"   みなべ町","-","-","-","-","-","-","-","-","-"
"   日高川町","-","-","-","-","-","-","-","-","-"
"","","","","","","","","",""
"   白 浜 町","18769.0","8710.0","10059.0","11301.0","5124.0","6177.0","60.21","58.83","61.41"
"   上富田町","12226.0","5770.0","6456.0","7013.0","3300.0","3713.0","57.36","57.19","57.51"
"   すさみ町","3841.0","1803.0","2038.0","2807.0","1275.0","1532.0","73.08","70.72","75.17"
"","","","","","","","","",""
"   那智勝浦町","13863.0","6386.0","7477.0","7441.0","3335.0","4106.0","53.68","52.22","54.92"
"   太 地 町","2854.0","1272.0","1582.0","1669.0","740.0","929.0","58.48","58.18","58.72"
"   古座川町","2593.0","1164.0","1429.0","1863.0","844.0","1019.0","71.85","72.51","71.31"
"   北 山 村","421.0","188.0","233.0","326.0","138.0","188.0","77.43","73.4","80.69"
"   串 本 町","15057.0","6926.0","8131.0","8290.0","3856.0","4434.0","55.06","55.67","54.53"
